Rank,Company Name,Revenue,Profit,Assets,Market Value
743,Sumitomo Electric,$30.4 B,$1 B,$28.8 B,$11.9 B
744,Siemens Energy,$34.6 B,$-2.4 B,$54.2 B,$21.5 B
745,Steel Dynamics,$18.6 B,$2.4 B,$15 B,$21 B
746,Grasim Industries,$15.3 B,$680.9 M,$47 B,$19.8 B
747,Aluminum Corp of China,$31.9 B,$941 M,$29.9 B,$12 B
748,Ashtead Group,$10.7 B,$1.6 B,$21.8 B,$31.9 B
749,Sika,$12.5 B,$1.2 B,$18.1 B,$49.8 B
750,Huatai Securities,$7.5 B,$1.7 B,$127.7 B,$11.5 B
751,AIB Group,$6.1 B,$2.2 B,$150.6 B,$13.5 B
752,Meritz Financial Group,$10 B,$1.6 B,$75.9 B,$11 B
753,Hong Kong Exchanges,$2.6 B,$1.5 B,$43.4 B,$47.8 B
754,Fortis (Canada),$8.4 B,$1.2 B,$49.9 B,$20.1 B
754,Targa Resources,$15.9 B,$1.1 B,$20.8 B,$26.1 B
756,Ryanair Holdings,$14.2 B,$2.2 B,$17.1 B,$22.7 B
757,3i Group,$707 M,$4.8 B,$27.3 B,$36.2 B
758,Roper Technologies,$6.4 B,$1.5 B,$30 B,$58 B
759,VakifBank,$16.3 B,$1.3 B,$96.8 B,$6.6 B
760,Chongqing Changan Auto,$20.8 B,$769.1 M,$26.4 B,$19.5 B
761,MGM Resorts,$16.7 B,$893.1 M,$42.1 B,$12.9 B
762,RenaissanceRe Holdings,$9.5 B,$2.3 B,$44.7 B,$12.1 B
763,Huishang Bank,$10.2 B,$2 B,$254.8 B,$4.3 B
764,HCLTech,$13.3 B,$1.9 B,$12 B,$43.4 B
765,Molina Healthcare,$35.9 B,$1.1 B,$15.5 B,$20.4 B
766,Neste,$24.3 B,$1.5 B,$17.7 B,$15.8 B
767,Thomson Reuters,$6.9 B,$2.4 B,$18.8 B,$77.2 B
768,Aegon,$25.8 B,$253 M,$314.8 B,$12 B
769,Bancolombia,$11.3 B,$1.5 B,$87.2 B,$9.1 B
770,ASE Technology Holding,$18.6 B,$1 B,$21.3 B,$20.3 B
770,Rongsheng Petrochemical,$43.3 B,$443.2 M,$52.7 B,$14.6 B
772,Resona Holdings,$6.2 B,$1.1 B,$503.2 B,$15.2 B
773,Jabil Circuit,$32.1 B,$1.5 B,$17.1 B,$13.9 B
774,Grupo Inbursa,$7.5 B,$1.7 B,$45.4 B,$18 B
775,Biogen,$9.3 B,$1.2 B,$26.6 B,$33.6 B
775,Daqin Railway,$11 B,$1.6 B,$29.1 B,$17.3 B
777,The Estée Lauder Companies,$15.3 B,$641 M,$22.7 B,$48.3 B
777,Suncorp Group,$11.8 B,$776.6 M,$73.1 B,$13.9 B
779,SSE,$14.3 B,$708.8 M,$31.9 B,$25.3 B
780,Murata Manufacturing,$11.3 B,$1.3 B,$20.1 B,$34.8 B
781,Celanese,$10.7 B,$2 B,$26 B,$17.2 B
782,TransDigm Group,$7.3 B,$1.4 B,$21.6 B,$72.3 B
783,Beijing-Shanghai High-Speed Railway,$5.8 B,$1.7 B,$40.6 B,$35.7 B
784,Newmont,$13.1 B,$-2.7 B,$55.3 B,$50.4 B
785,Tyson Foods,$52.9 B,$-615 M,$37.5 B,$21 B
786,Ageas,$12.2 B,$1 B,$106.1 B,$9.4 B
786,Nidec,$16.2 B,$867.2 M,$21 B,$27.1 B
786,Zoetis,$8.7 B,$2.4 B,$14.3 B,$79.4 B
789,CK Asset Holdings,$6.2 B,$2.2 B,$65.2 B,$16.1 B
790,H&M - Hennes & Mauritz,$22.1 B,$887.8 M,$16.8 B,$27.3 B
791,Public Bank,$5.1 B,$1.5 B,$111.1 B,$17.4 B
792,TELUS,$14.8 B,$556.8 M,$42.6 B,$24.4 B
793,Sampo,$10 B,$1.5 B,$24.8 B,$22.1 B
794,Best Buy,$43.5 B,$1.2 B,$15 B,$15.9 B
795,Galp Energia,$22.3 B,$1.4 B,$17.8 B,$16.2 B
796,Shanghai Rural Commercial Bank,$7 B,$1.7 B,$199.5 B,$10.3 B
797,WTW,$9.6 B,$1 B,$30.2 B,$26.3 B
798,Intuitive Surgical,$7.3 B,$2 B,$15.8 B,$141.5 B
799,Otsuka Holding,$14.5 B,$951.3 M,$22.8 B,$22.7 B
800,Unum Group,$12.6 B,$1.3 B,$53.6 B,$10.1 B
801,Universal Music Group,$12 B,$1.4 B,$14.6 B,$57.2 B
802,The Hershey Company,$11.4 B,$2.1 B,$12.4 B,$41.9 B
803,Otis Worldwide,$14.3 B,$1.4 B,$9.8 B,$39.1 B
804,Digital Realty Trust,$5.5 B,$1.2 B,$42.6 B,$46.4 B
805,Quanta Services,$21.5 B,$768 M,$15.5 B,$38.7 B
806,SM Investments,$10.3 B,$1.4 B,$28.4 B,$18.6 B
807,CDW,$21.1 B,$1.1 B,$13.2 B,$30.1 B
808,Grupo Bimbo,$22.8 B,$794.5 M,$21.9 B,$18.7 B
809,Realty Income,$4.4 B,$779.6 M,$68.3 B,$48 B
810,ITC,$8.5 B,$2.5 B,$10.5 B,$65.4 B
811,ZTE,$17.4 B,$1.3 B,$28.8 B,$11.1 B
812,T&D Holdings,$19.3 B,$683.1 M,$113.7 B,$8.6 B
813,Essity,$15 B,$1.7 B,$17.4 B,$18.3 B
814,Fox,$13.9 B,$1.6 B,$21.7 B,$15.3 B
815,Alinma Bank,$4.7 B,$1.4 B,$65.3 B,$21.1 B
815,Joint Stock Commercial Bank for Foreign Trade of Vietnam,$5.2 B,$1.4 B,$71.5 B,$20.2 B
817,Mega Financial Holding,$5.2 B,$1.1 B,$143.2 B,$18.3 B
818,HF Sinclair,$31.4 B,$1.5 B,$17.9 B,$11.2 B
819,American Airlines Group,$53.2 B,$500 M,$64.4 B,$9.7 B
820,Carnival Corporation,$22.6 B,$405 M,$49.8 B,$19 B
820,MTR,$7.3 B,$994.3 M,$44.4 B,$23.2 B
820,Trip.com Group,$6.3 B,$1.4 B,$30.9 B,$36.2 B
823,Unipol Gruppo,$14.1 B,$1.2 B,$86.6 B,$7.2 B
824,BPER Banca,$8.1 B,$1.8 B,$151.3 B,$8.1 B
825,Hilton Worldwide Holdings,$10.5 B,$1.2 B,$15.9 B,$51.1 B
826,Chipotle Mexican Grill,$10.2 B,$1.3 B,$8.4 B,$88.3 B
827,Power Grid of India,$5.6 B,$1.9 B,$29.6 B,$35 B
828,Mapfre,$34.9 B,$748 M,$54.1 B,$7.8 B
829,Fresenius,$29.6 B,$-717.8 M,$47.8 B,$17.1 B
830,CLP Holdings,$11.1 B,$850.1 M,$29.3 B,$21.5 B
831,JBS,$74.2 B,$413 M,$40.8 B,$12.7 B
832,Mitsubishi UFJ Lease,$13.5 B,$856.4 M,$73.7 B,$9.5 B
833,Geely Automobile Holdings,$25.2 B,$722.6 M,$27.2 B,$13.2 B
834,Kasikornbank,$9.1 B,$1.3 B,$118.4 B,$8.8 B
834,Tata Steel,$28.3 B,$-404.9 M,$32.7 B,$25.1 B
836,Leonardo,$16.5 B,$711.4 M,$33.9 B,$14.6 B
837,Ameren,$7.3 B,$1.1 B,$41.3 B,$19.9 B
838,CenterPoint Energy,$8.5 B,$942 M,$40.2 B,$19.2 B
839,Cintas,$9.4 B,$1.5 B,$9 B,$70.2 B
840,Daiwa Securities,$8.9 B,$840.6 M,$211.6 B,$10.2 B
841,Rogers Communications,$15.1 B,$440.4 M,$51.3 B,$21.2 B
842,China Taiping Insurance,$17.4 B,$686.4 M,$191.9 B,$4.3 B
842,Microchip Technology,$7.6 B,$1.9 B,$15.9 B,$51 B
842,Motorola Solutions,$10.2 B,$1.4 B,$13.3 B,$61.3 B
845,TD SYNNEX,$56.4 B,$626.9 M,$27.8 B,$11 B
846,Builders FirstSource,$17.1 B,$1.5 B,$11.2 B,$20.4 B
847,Tohoku Electric Power,$19.5 B,$1.6 B,$35.6 B,$4.1 B
848,Corning,$12.4 B,$614 M,$27.6 B,$30.3 B
849,Credicorp,$7 B,$1.3 B,$64.8 B,$13 B
850,Eletrobrás,$7.4 B,$889.4 M,$52.8 B,$18.6 B
851,SK,$99.6 B,$-1.4 B,$160.5 B,$6.3 B
852,Kuaishou Technology,$16 B,$882.3 M,$15 B,$32.4 B
853,Mitsui OSK Lines,$11.3 B,$1.8 B,$27.2 B,$11.8 B
854,Mazda Motor,$33.4 B,$1.4 B,$25.1 B,$6.4 B
855,Sandvik,$11.7 B,$1.2 B,$16.9 B,$26.8 B
856,Super Micro Computer,$11.8 B,$1 B,$8.9 B,$52 B
856,Tractor Supply,$14.7 B,$1.1 B,$9.6 B,$30.8 B
858,TDK,$14.5 B,$862.3 M,$22.6 B,$17.7 B
859,Flex,$28.1 B,$1 B,$18.3 B,$12.3 B
860,Woolworths,$43.6 B,$-5.3 M,$22.6 B,$25.8 B
861,Southwest Airlines,$26.7 B,$426 M,$36 B,$16.7 B
862,Jiangxi Copper,$73.5 B,$953.3 M,$23.7 B,$7.9 B
863,HAL Trust,$13.7 B,$1.1 B,$29.1 B,$11.8 B
864,Philips,$19.6 B,$-503.8 M,$32.8 B,$26.4 B
865,PPL,$8.2 B,$762 M,$39.6 B,$21.8 B
866,Workday,$7.2 B,$1.4 B,$16.5 B,$68.5 B
867,Tenaga Nasional,$11.6 B,$607.3 M,$50.7 B,$15.6 B
868,Public Storage,$4.6 B,$2.1 B,$19.6 B,$50.7 B
869,Mitsubishi Chemical,$30.3 B,$827.1 M,$40.3 B,$7.5 B
870,Mediobanca,$5.4 B,$1.2 B,$104.8 B,$13.9 B
871,Lululemon Athletica,$9.6 B,$1.6 B,$7.1 B,$42.2 B
872,Interactive Brokers Group,$8.3 B,$627 M,$132.2 B,$13.3 B
872,Longi Green Energy Technology,$16.5 B,$664.3 M,$23.3 B,$19.5 B
874,Kyocera,$13.9 B,$699 M,$29.5 B,$16.9 B
875,CP All,$25.9 B,$573.9 M,$25.3 B,$14.6 B
876,Absa Group,$11.1 B,$1.1 B,$102.5 B,$7 B
876,Jackson Financial,$3.6 B,$3.2 B,$315.7 B,$5.9 B
878,Sabanci Holding,$23.1 B,$647.6 M,$74.2 B,$6.6 B
879,Henderson Land,$3.5 B,$1.2 B,$69.5 B,$16.4 B
880,BDO Unibank,$6.1 B,$1.3 B,$81.4 B,$12.7 B
880,Chongqing Rural Bank,$7.6 B,$1.5 B,$206.3 B,$5.5 B
882,TCL,$24.3 B,$418.9 M,$54.2 B,$12.1 B
883,NASDAQ,$6.2 B,$992 M,$30.3 B,$36.2 B
884,Isuzu Motors,$23.4 B,$1.2 B,$21.6 B,$9.4 B
885,Phoenix Group Holdings,$33.2 B,$-171.5 M,$375.3 B,$6.5 B
886,SDIC Power Holdings,$7.9 B,$993.8 M,$39 B,$16.4 B
887,Sumitomo Realty,$6.7 B,$1.2 B,$44.1 B,$15.7 B
888,Quinenco,$12.4 B,$1 B,$79.4 B,$5.8 B
889,Mizrahi Tefahot Bank,$6.8 B,$1.3 B,$124.5 B,$9.3 B
890,Evergreen Marine Corp. (Taiwan),$9.5 B,$1.5 B,$24.4 B,$14 B
891,Greenland Holdings Group,$45.5 B,$-1.6 B,$165.6 B,$4.2 B
892,Adidas,$23.4 B,$145.3 M,$19.9 B,$44.5 B
893,Banca MPS,$6.7 B,$2.2 B,$135.5 B,$7.3 B
893,Ford Otosan,$17.3 B,$2.1 B,$7.3 B,$13.1 B
893,Sichuan Road & Bridge,$14.8 B,$1.1 B,$32.8 B,$9.2 B
896,East Money Information,$1.8 B,$1.1 B,$35.6 B,$28.4 B
897,Aisin Seiki,$34 B,$628 M,$30.7 B,$9.7 B
897,Guotai Junan Securities,$6.3 B,$1.2 B,$130.5 B,$10.3 B
899,Commercial Bank For Investment & Development Of Vietnam,$7.3 B,$909.2 M,$93.9 B,$11.1 B
900,Dubai Islamic Bank,$5.4 B,$1.7 B,$85.6 B,$10.9 B
901,Arista Networks,$6.1 B,$2.3 B,$10.6 B,$100.2 B
901,IndusInd Bank,$6.7 B,$1.1 B,$61.8 B,$13.2 B
903,Westinghouse Air Brake Technologies,$10 B,$918 M,$18.7 B,$29.7 B
904,Monster Beverage,$7.3 B,$1.7 B,$10.1 B,$56.4 B
905,Jeronimo Martins,$34.6 B,$773 M,$15.8 B,$14 B
906,Dollar Tree,$30.6 B,$-998.4 M,$22 B,$25.6 B
907,ON Semiconductor Corp.,$8.2 B,$2.2 B,$13.5 B,$31.5 B
908,Ovintiv,$10.6 B,$1.9 B,$19.8 B,$13.3 B
909,Hanwha,$38.8 B,$-55 M,$158.9 B,$1.5 B
909,Naver,$7.5 B,$1.1 B,$26.6 B,$20.9 B
911,Suzano,$7.7 B,$1.8 B,$28.6 B,$12.9 B
912,Expedia Group,$13.1 B,$807 M,$24.8 B,$15.1 B
912,Telkom Indonesia,$9.8 B,$1.6 B,$18.2 B,$18.6 B
914,Tokyo Gas,$18.4 B,$1.2 B,$25.7 B,$8.7 B
915,China National Building,$29.8 B,$542.2 M,$68.9 B,$3.9 B
916,Fidelity National Information (FIS),$11.2 B,$-6.8 B,$35.9 B,$43.6 B
917,Saudi Arabian Mining,$7.6 B,$570.4 M,$30.1 B,$49.1 B
918,CMS Energy,$7.4 B,$970 M,$33.9 B,$18.9 B
919,Martin Marietta Materials,$6.7 B,$2.1 B,$16.2 B,$35.8 B
920,AES,$12.5 B,$523 M,$47 B,$15.1 B
921,Bank Of Chengdu,$6.1 B,$1.7 B,$163.1 B,$8.5 B
922,Indian Railway Finance,$3.2 B,$731.1 M,$58.6 B,$26.5 B
923,Legend Holding,$61.5 B,$-530.3 M,$93.9 B,$1.9 B
924,Muyuan Foodstuff,$15.7 B,$-759.2 M,$27.2 B,$34.6 B
925,DuPont De Nemours,$12 B,$355 M,$37.7 B,$33.4 B
926,Wipro,$10.8 B,$1.3 B,$13.8 B,$28.9 B
927,Delta Electronics,$12.7 B,$1 B,$14.8 B,$26 B
927,Mashreq Bank,$5.2 B,$2.3 B,$65.3 B,$10.3 B
929,Molson Coors Brewing,$12 B,$1.1 B,$26.1 B,$12 B
930,GAIL India,$16.1 B,$1.2 B,$15 B,$16.1 B
931,Moody's,$6.2 B,$1.7 B,$15 B,$75.6 B
932,Restaurant Brands International,$7.2 B,$1.2 B,$23.1 B,$22.4 B
933,Eversource Energy,$11.4 B,$-411.6 M,$57.3 B,$21.5 B
934,Bank Pekao,$5.5 B,$1.6 B,$79.6 B,$10.8 B
935,Teva Pharmaceutical,$16 B,$-428.8 M,$42.8 B,$18.5 B
936,Db Insurance,$12.3 B,$1.4 B,$43.6 B,$4.8 B
936,Legrand,$9 B,$1.2 B,$16.5 B,$28.7 B
936,Rakuten,$14.6 B,$-2.1 B,$157.6 B,$11 B
939,Conagra Brands,$12.1 B,$952 M,$21.9 B,$14.7 B
940,Kellanova,$14.4 B,$920 M,$15.3 B,$21 B
941,Schindler Holding,$12.8 B,$963.7 M,$13.4 B,$28.3 B
942,Air France-KLM,$32.9 B,$686.3 M,$37.5 B,$3 B
942,TBEA,$13.2 B,$1.1 B,$27.6 B,$10.2 B
944,Bank Negara Indonesia,$5.4 B,$1.4 B,$67.3 B,$12.1 B
945,Welltower,$6.9 B,$441.6 M,$44.6 B,$60.6 B
946,Ericsson,$24 B,$-2.4 B,$28 B,$19.1 B
947,Indian Bank,$7.8 B,$1 B,$95.4 B,$8.7 B
948,DSM-Firmenich,$11.5 B,$-704.9 M,$38.1 B,$31 B
949,Waste Connections,$8.2 B,$794.1 M,$19.1 B,$43.2 B
950,Techtronic Industries,$13.7 B,$976.3 M,$12.4 B,$25.1 B
951,Raizen,$44.4 B,$802.3 M,$25.8 B,$6 B
952,Anta Sports Products,$8.8 B,$1.4 B,$13 B,$32.1 B
953,Kyushu Electric Power,$14.8 B,$1.2 B,$37.8 B,$5 B
954,Kone,$11.9 B,$1 B,$9 B,$28.4 B
955,Semiconductor Manufacturing International,$6.3 B,$903 M,$47.8 B,$17.2 B
956,Itaúsa,$1.5 B,$2.7 B,$21.7 B,$20.7 B
957,Halkbank,$15.8 B,$657.6 M,$78 B,$3.9 B
957,MOL Hungarian Oil,$25.3 B,$1.3 B,$22.1 B,$5.5 B
959,China Reinsurance Group,$14.4 B,$793 M,$61.3 B,$3.4 B
960,Formosa Petrochemical,$22.2 B,$715.3 M,$13.1 B,$20.7 B
961,Vedanta Limited,$17.4 B,$512 M,$22.9 B,$19.7 B
962,Ferrari,$6.6 B,$1.4 B,$9.3 B,$76 B
963,Shanghai International Port,$5.3 B,$1.9 B,$28.5 B,$18 B
964,Reliance Steel,$14.5 B,$1.3 B,$10.7 B,$17.1 B
965,Yuanta Financial Holding,$4.8 B,$852.3 M,$107.5 B,$12.9 B
966,NVR,$9.5 B,$1.6 B,$6.5 B,$24 B
967,Penske Automotive,$29.6 B,$970.1 M,$16.1 B,$10.4 B
967,St. James's Place,$23.6 B,$-12.6 M,$219.6 B,$3.3 B
969,China Bohai Bank,$9.7 B,$727.6 M,$244.6 B,$2.5 B
970,China Three Gorges Renewables (Group),$3.8 B,$999.7 M,$45 B,$18.4 B
971,Tongwei,$17.4 B,$583.7 M,$24.9 B,$13.6 B
972,SCB X Public Company,$6.1 B,$1.2 B,$93.4 B,$9.9 B
973,Vestas Wind Systems,$16.5 B,$-6.4 M,$24.4 B,$28.2 B
974,KE Holdings,$11 B,$840.8 M,$17 B,$25.4 B
975,Dassault Systemes,$6.5 B,$1.2 B,$16.2 B,$54 B
976,DiDi Global,$27.2 B,$70 M,$20.3 B,$23 B
977,SK Innovation,$58.3 B,$238.5 M,$64.2 B,$7.7 B
978,CGI,$10.7 B,$1.2 B,$11.6 B,$24.1 B
979,American Water Works,$4.3 B,$959 M,$31.1 B,$26.1 B
980,Textron,$13.8 B,$931 M,$16.4 B,$17 B
981,Pembina Pipeline,$6.2 B,$1.4 B,$24.6 B,$20.3 B
982,Banque Saudi Fransi,$4.3 B,$1.1 B,$71.6 B,$11.8 B
982,Fosun International,$28 B,$199.1 M,$114 B,$5.4 B
982,Zimmer Biomet,$7.5 B,$963.9 M,$21.5 B,$24.7 B
985,Bangkok Bank,$7.2 B,$1.2 B,$124.9 B,$7.3 B
986,China National Chemical,$25.2 B,$771.4 M,$30.4 B,$6.6 B
986,Yum! Brands,$7 B,$1.6 B,$6.2 B,$39.9 B
988,Lithia Motors,$32.6 B,$934.8 M,$22.2 B,$7.4 B
989,Aena,$5.4 B,$1.8 B,$19.4 B,$29.2 B
990,Lonza Group,$7.5 B,$727.8 M,$20.3 B,$42.1 B
990,Synopsys,$6.1 B,$1.4 B,$10.6 B,$86.5 B
992,United Microelectronics,$7.1 B,$1.8 B,$17.7 B,$20.5 B
993,Uni-President,$19.4 B,$600.4 M,$21.1 B,$14 B
994,China Cinda Asset Management,$7.9 B,$829.5 M,$224.8 B,$4 B
995,Nongfu Spring,$6 B,$1.7 B,$6.9 B,$66.9 B
996,Scor,$21.4 B,$754.6 M,$35 B,$5.9 B
997,E.Sun Financial,$4 B,$697.9 M,$116.7 B,$14.1 B
998,Rockwell Automation,$9 B,$1.2 B,$11.4 B,$30.8 B
999,Santos,$6 B,$1.4 B,$31.1 B,$16.4 B
"1,000",Kirin Holdings,$15.1 B,$919.8 M,$19.9 B,$11.7 B
"1,001",Snam,$4.6 B,$1.2 B,$37.1 B,$16.5 B
"1,002",Abu Dhabi Islamic Bank,$3.9 B,$1.4 B,$53 B,$11.8 B
"1,003",KT,$20.1 B,$812.4 M,$31.7 B,$6.8 B
"1,004",Sungrow Power Supply,$10 B,$1.4 B,$11.7 B,$20.9 B
"1,005",Air Canada,$16.4 B,$1.6 B,$22 B,$4.8 B
"1,006",CarMax,$26.5 B,$479.2 M,$27.5 B,$11.5 B
"1,007",Dover,$8.5 B,$1.5 B,$12 B,$25.3 B
"1,007",Zhejiang Zheneng Electric Power,$13.7 B,$1 B,$20.4 B,$11.3 B
"1,009",Sunac China Holdings,$22.1 B,$-1.2 B,$137.9 B,$2 B
"1,010",Ferrovial,$9.2 B,$497.3 M,$29.1 B,$29.7 B
"1,011",PBF Energy,$37.7 B,$1.9 B,$13.8 B,$6.1 B
"1,012",Sanlam,$11.2 B,$784.1 M,$53.3 B,$8.3 B
"1,012",Ulta Beauty,$11.2 B,$1.3 B,$6.3 B,$19.2 B
"1,014",Yamaha Motor,$16.9 B,$1.2 B,$18.5 B,$9.3 B
"1,015",All Nippon Airways,$14.2 B,$1.1 B,$23.6 B,$9.1 B
"1,016",Viatris,$15.3 B,$-56.1 M,$47.3 B,$13.1 B
"1,017",Chunghwa Telecom,$7.1 B,$1.2 B,$16.5 B,$30.3 B
"1,017",Live Nation Entertainment,$23.4 B,$252.1 M,$20 B,$22.2 B
"1,019",Arab National Bank,$4.2 B,$1.1 B,$61.9 B,$11.5 B
"1,019",Coles Group,$27.9 B,$704.9 M,$13.3 B,$14.6 B
"1,021",XCMG Construction Machinery,$12.9 B,$753.5 M,$22.8 B,$12.7 B
"1,022",GS Holdings,$19.3 B,$958.3 M,$26 B,$3.1 B
"1,023",Franklin Resources,$8.1 B,$860.4 M,$32.9 B,$12.8 B
"1,024",Ametek,$6.7 B,$1.3 B,$14.9 B,$38.6 B
"1,025",Extra Space Storage,$2.9 B,$818.7 M,$27.5 B,$32.2 B
"1,026",East West Bancorp,$4.1 B,$1.1 B,$70.9 B,$10.8 B
"1,026",Flutter Entertainment,$11.8 B,$-1.2 B,$24.4 B,$36.6 B
"1,028",First Financial Holding,$4.7 B,$720.6 M,$144.3 B,$11.9 B
"1,029",Electronic Arts,$7.5 B,$1.3 B,$13.4 B,$34.2 B
"1,030",Experian,$7.1 B,$1.2 B,$11.7 B,$42.8 B
"1,031",Beiersdorf,$10.2 B,$795.7 M,$14.1 B,$35.2 B
"1,031",Nippon Paint,$10.3 B,$853.5 M,$19.1 B,$17.6 B
"1,033",Avis Budget Group,$12 B,$1.2 B,$33.5 B,$4.2 B
"1,034",Edwards Lifesciences,$6.1 B,$1.4 B,$9.7 B,$53.7 B
"1,035",Agilent Technologies,$6.7 B,$1.2 B,$10.9 B,$45.2 B
"1,035",Shenzhen Mindray Bio-Medical Electronics,$5 B,$1.7 B,$7 B,$51.7 B
"1,037",Brookfield Reinsurance,$8.2 B,$1.2 B,$59.7 B,$4.5 B
"1,037",Givaudan,$7.7 B,$993.7 M,$13.2 B,$42.5 B
"1,039",Fastenal,$7.4 B,$1.2 B,$4.5 B,$38 B
"1,040",Vienna Insurance Group,$13.4 B,$596.2 M,$51.9 B,$8.7 B
"1,041",Brookfield Renewable,$4 B,$1.4 B,$44.2 B,$11.6 B
"1,042",Qatar Islamic Bank,$2 B,$1.2 B,$52.7 B,$11.4 B
"1,043",Globalfoundries,$7.1 B,$899 M,$18.5 B,$30 B
"1,044",Jinko Solar,$16.5 B,$970.3 M,$18.1 B,$10.3 B
"1,045",China Resources Pharmaceutical Group,$34.5 B,$544 M,$34.8 B,$5 B
"1,046",HD HYUNDAI,$48.1 B,$307.2 M,$51.8 B,$3.6 B
"1,046",International Flavors & Fragrances,$11.4 B,$-2.5 B,$30.6 B,$25.5 B
"1,048",Adani Power Limited,$6.1 B,$2.5 B,$11.1 B,$29.4 B
"1,049",Eurobank Ergasias,$6.1 B,$1.3 B,$85.7 B,$8.4 B
"1,050",Shaanxi Construction Engineering Group,$24 B,$515.5 M,$46.2 B,$2.1 B
"1,050",Voya Financial,$7.6 B,$793 M,$149.8 B,$7.5 B
"1,052",Sany Heavy Industry,$10.2 B,$640.9 M,$21.4 B,$20 B
"1,053",Bank of India,$8.1 B,$792.9 M,$110.8 B,$6.7 B
"1,054",Dick's Sporting Goods,$13 B,$1 B,$10.2 B,$15.9 B
"1,055",Bank of Changsha,$6.5 B,$1.1 B,$146.8 B,$4.8 B
"1,056",Luzhou Lao Jiao,$3.8 B,$2 B,$9.5 B,$38.5 B
"1,057",Israel Discount Bank,$6.5 B,$1.1 B,$109.9 B,$6.2 B
"1,058",China Development Financial,$10.3 B,$607.7 M,$118.9 B,$7.5 B
"1,059",Adani Enterprises,$12.7 B,$391.4 M,$19.3 B,$41.9 B
"1,059",T Rowe Price,$6.7 B,$1.9 B,$12.9 B,$26.1 B
"1,061",Paychex,$5.2 B,$1.7 B,$13 B,$45.2 B
"1,062",Shanghai Construction,$43.5 B,$222 M,$48.5 B,$3 B
"1,063",Greentown China Holdings,$18.6 B,$442.9 M,$75.5 B,$3 B
"1,064",Orsted,$8.4 B,$-3.1 B,$42 B,$25.7 B
"1,065",Shanxi Xinghuacun Fen Wine Factory,$4 B,$1.7 B,$7 B,$44.5 B
"1,066",Paramount,$30.1 B,$-481 M,$52 B,$8 B
"1,067",Arca Continental,$12 B,$986.7 M,$14.1 B,$17.3 B
"1,068",Wuchan Zhongda Group,$81.5 B,$484.8 M,$28.2 B,$3.5 B
"1,069",Baxter International,$14.9 B,$-233 M,$27.8 B,$18 B
"1,070",Copart,$4.2 B,$1.4 B,$8 B,$52.4 B
"1,071",Shanghai Pharmaceuticals,$36.8 B,$530.1 M,$30.1 B,$5.9 B
"1,072",China CSSC Holdings,$11.3 B,$462.3 M,$24.5 B,$22.2 B
"1,072",Darden Restaurants,$11.2 B,$1 B,$11.4 B,$18.4 B
"1,074",LPL Financial Holdings,$10.5 B,$1 B,$11 B,$20 B
"1,075",Jacobs Solutions,$16.9 B,$657.4 M,$14.9 B,$17.1 B
"1,076",Guosen Securities,$2.9 B,$821 M,$65.8 B,$11.9 B
"1,077",Vonovia,$5.3 B,$-4.3 B,$101.6 B,$26.3 B
"1,078",National Bank of Greece,$3.9 B,$1.3 B,$78.2 B,$8.4 B
"1,079",GF Securities,$4.9 B,$1.1 B,$93.4 B,$8.5 B
"1,080",Hua Nan Financial,$4.8 B,$693.5 M,$126.1 B,$11 B
"1,081",WestRock,$19.5 B,$304.9 M,$26.9 B,$13.7 B
"1,082",Coterra Energy,$5.3 B,$1.3 B,$21 B,$21 B
"1,083",EXOR,$2.8 B,$2.5 B,$14.8 B,$23.9 B
"1,084",SBI Holdings,$8.4 B,$603.3 M,$179.8 B,$7.6 B
"1,085",Hormel Foods,$12.1 B,$794.7 M,$13.5 B,$19.9 B
"1,085",Nedbank,$8.2 B,$837.9 M,$71.7 B,$6.1 B
"1,087",M&G,$13.8 B,$369.2 M,$240.3 B,$6.2 B
"1,088",Vulcan Materials,$7.7 B,$915.3 M,$13.9 B,$34.3 B
"1,089",WPP,$18.5 B,$137.2 M,$34.3 B,$11.6 B
"1,090",Cadence Design,$4.1 B,$1 B,$5.7 B,$78.6 B
"1,091",AvalonBay Communities,$2.8 B,$953.6 M,$20.6 B,$28.3 B
"1,091",Ternium,$18.5 B,$662.6 M,$24.8 B,$8.6 B
"1,093",Antofagasta,$6.3 B,$833.7 M,$19.6 B,$29.6 B
"1,094",China Merchants Securities,$4.3 B,$1.2 B,$98.1 B,$8 B
"1,095",Spotify Technology,$15 B,$-119.4 M,$9.8 B,$59.1 B
"1,096",Grupo Carso,$11.3 B,$737.7 M,$14.9 B,$20.4 B
"1,097",Osaka Gas,$14.4 B,$917.5 M,$19.7 B,$9.3 B
"1,098",Interpublic Group,$10.9 B,$1.1 B,$17.3 B,$12 B
"1,098",Kaspi.kz JSC,$4.5 B,$1.9 B,$15.4 B,$23.2 B
"1,100",APA,$8.2 B,$2.7 B,$15 B,$11.5 B
"1,100",WH Group,$26.2 B,$629.3 M,$19.2 B,$9.3 B
"1,102",Agnico Eagle Mines,$6.9 B,$465.5 M,$28.8 B,$35 B
"1,103",J Sainsbury,$40.9 B,$171.4 M,$31.7 B,$8.4 B
"1,103",Julius Baer Group,$6.5 B,$505.2 M,$115 B,$12.3 B
"1,105",Ingersoll Rand,$6.9 B,$819.8 M,$15.5 B,$37.4 B
"1,106",WEG,$6.7 B,$1.2 B,$6.4 B,$32.5 B
